ct_uid_code,geometry_source_ctuid,geometry_match_type
7050001.01,7050001.01,exact
7050001.02,7050001.02,exact
7050002.01,7050002.01,exact
7050002.02,7050002.02,exact
7050003.00,7050003.00,exact
7050004.00,7050004.01,crosswalk_surrogate
7050005.00,7050005.00,exact
7050006.00,7050006.01,crosswalk_surrogate
7050007.00,7050007.00,exact
7050008.01,7050008.01,exact
7050008.02,7050008.02,exact
7050009.01,7050009.01,exact
7050009.02,7050009.02,exact
7050010.00,7050010.00,exact
7050011.00,7050011.00,exact
7050012.00,7050012.00,exact
7050013.00,7050013.00,exact
7050014.00,7050014.00,exact
7050015.00,7050015.00,exact
7050016.00,7050016.00,exact
7050017.00,7050017.00,exact
7050018.00,7050018.00,exact
7050019.00,7050019.00,exact
7050020.00,7050020.00,exact
7050021.00,7050021.00,exact
7050022.01,7050022.01,exact
7050022.02,7050022.02,exact
7050023.01,7050023.01,exact
7050023.02,7050023.02,exact
7050024.00,7050024.00,exact
7050025.01,7050025.01,exact
7050025.02,7050025.02,exact
7050026.00,7050026.00,exact
7050027.00,7050027.00,exact
7050028.01,7050028.01,exact
7050028.02,7050028.02,exact
7050028.03,7050028.03,exact
7050100.01,7050100.01,exact
7050100.02,7050100.02,exact
7050100.03,7050100.03,exact
7050100.04,7050100.05,crosswalk_surrogate
7050100.05,7050100.05,exact
7050100.08,7050100.08,exact
7050100.09,7050100.10,crosswalk_surrogate
7050100.10,7050100.10,exact
7050100.11,7050100.11,exact
7050100.12,7050100.11,crosswalk_surrogate
7050100.13,7050100.13,exact
7050100.14,7050100.14,exact
7050101.01,7050101.01,exact
7050101.02,7050101.02,exact
7050102.00,7050102.00,exact
7050103.00,7050103.00,exact
7050104.00,7050104.00,exact
